Station ID,Visit,Data_Source,Location,Date,Chl,MC
NLA06608-1239,1,NLA 12,,,5.68,3.08
NLA06608-1240,1,NLA 07,,,28.872,NA
NLA06608-1241,1,NLA 07,,,14.08,0.11
NLA06608-1242,1,NLA 07,,,2.896,0.17
NLA06608-1243,1,NLA 07,,,35.28,0.74
NLA06608-1244,1,NLA 07,,,103.895,7.8
NLA06608-1245,1,NLA 07,,,17.44,NA
NLA06608-1245,1,NLA 12,,,18.2,NA
NLA06608-1245,1,NLA 12,,,7.52,NA
NLA06608-1255,1,NLA 07,,,516,1.3
NLA06608-1256,1,NLA 07,,,2.584,NA
NLA06608-1256,1,NLA 12,,,4.56,0.31812
NLA06608-1256,1,NLA 12,,,7.586206897,0.11804
NLA06608-1258,1,NLA 07,,,4.347,NA
NLA06608-1259,1,NLA 07,,,3.008,NA
NLA06608-1261,1,NLA 07,,,16.056,NA
NLA06608-1262,1,NLA 07,,,20.8,0.18
NLA06608-1263,1,NLA 07,,,14,NA
NLA06608-1266,1,NLA 07,,,0.927,NA
NLA06608-1268,1,NLA 07,,,37.84,0.11
NLA06608-1268,1,NLA 12,,,4.8,NA
NLA06608-1268,1,NLA 12,,,13.9,0.10655
NLA06608-1269,1,NLA 07,,,113.143,0.26
NLA06608-1269,1,NLA 12,,,12,0.11835
NLA06608-1269,1,NLA 12,,,12,NA
NLA06608-1270,1,NLA 07,,,1.595,NA
NLA06608-1271,1,NLA 07,,,98.88,0.34
NLA06608-1271,1,NLA 12,,,88,13.9885
NLA06608-1271,1,NLA 12,,,48.93,5.47225
NLA06608-1273,1,NLA 07,,,195.84,0.19
NLA06608-1274,1,NLA 07,,,1.904,NA
NLA06608-1278,1,NLA 07,,,29.088,2.4
NLA06608-1278,1,NLA 12,,,31.09,8.34
NLA06608-1278,1,NLA 12,,,23.92,4.65996
NLA06608-1279,1,NLA 07,,,10.672,NA
NLA06608-1281,1,NLA 07,,,1.189,NA
NLA06608-1283,1,NLA 07,,,46.368,0.2
NLA06608-1284,1,NLA 07,,,1.189,NA
NLA06608-1288,1,NLA 07,,,45.216,NA
NLA06608-1292,1,NLA 07,,,7.08,NA
NLA06608-1292,1,NLA 12,,,8.69,0.10742
NLA06608-1292,1,NLA 12,,,12.59354839,NA
NLA06608-1295,1,NLA 07,,,26.08,NA
NLA06608-1297,1,NLA 07,,,6.056,0.43
NLA06608-1300,1,NLA 07,,,1.594,NA
NLA06608-1303,1,NLA 07,,,7.648,6.6
NLA06608-1312,1,NLA 07,,,1.6,NA
NLA06608-1316,1,NLA 07,,,62.4,NA
NLA06608-1319,1,NLA 07,,,169.632,2.8
NLA06608-1321,1,NLA 07,,,1.57,NA
NLA06608-1323,1,NLA 07,,,15.378,NA
NLA06608-1326,1,NLA 07,,,1.68,0.21
NLA06608-1326,1,NLA 12,,,1.786666667,NA
NLA06608-1326,1,NLA 12,,,1.83,NA
NLA06608-1329,1,NLA 07,,,0.108,NA
NLA06608-1332,1,NLA 07,,,19.64,NA
NLA06608-1333,1,NLA 07,,,1.344,NA
NLA06608-1333,1,NLA 12,,,1.05,NA
NLA06608-1333,1,NLA 12,,,4.6,0.11169
NLA06608-1334,1,NLA 07,,,3,3.4
NLA06608-1334,1,NLA 12,,,3.015384615,0.27481
NLA06608-1334,1,NLA 12,,,1.84,0.21063
NLA06608-1334,2,NLA 07,,,2.848,2
NLA06608-1336,1,NLA 07,,,49.86,0.28
NLA06608-1336,1,NLA 12,,,58.5,NA
NLA06608-1336,1,NLA 12,,,71.1,0.10827
NLA06608-1338,1,NLA 07,,,4.088,0.11
NLA06608-1339,1,NLA 07,,,147.6,NA
NLA06608-1339,1,NLA 12,,,183.2,25.722
NLA06608-1339,1,NLA 12,,,218,22.27475
NLA06608-1342,1,NLA 07,,,3.776,NA
NLA06608-1344,1,NLA 07,,,6.3,NA
NLA06608-1346,1,NLA 07,,,2.164,NA
NLA06608-1346,1,NLA 12,,,2.43,NA
NLA06608-1346,1,NLA 12,,,2.284,NA
NLA06608-1346,2,NLA 12,,,4.48,NA
NLA06608-1346,2,NLA 12,,,4.87,0.17807
NLA06608-1347,1,NLA 07,,,5.072,NA
NLA06608-1347,1,NLA 12,,,5.68,0.26
NLA06608-1347,1,NLA 12,,,4.58,0.57
NLA06608-1348,1,NLA 07,,,1.31,NA
NLA06608-1348,1,NLA 12,,,5.112,NA
NLA06608-1348,1,NLA 12,,,5.16,NA
NLA06608-1349,1,NLA 07,,,27.2,0.19
NLA06608-1349,1,NLA 12,,,16.32,0.29327
NLA06608-1349,1,NLA 12,,,20,0.37203
NLA06608-1354,1,NLA 07,,,3.627,NA
NLA06608-1354,1,NLA 12,,,10.44,NA
NLA06608-1354,1,NLA 12,,,18.24,0.11028
NLA06608-1355,1,NLA 07,,,3.84,0.27
NLA06608-1355,2,NLA 07,,,3.422,0.17
NLA06608-1356,1,NLA 07,,,4.924,NA
NLA06608-1358,1,NLA 07,,,7.64,NA
NLA06608-1358,2,NLA 07,,,4.64,NA
NLA06608-1359,1,NLA 07,,,34.848,NA
NLA06608-1360,1,NLA 07,,,49.92,0.13
NLA06608-1364,1,NLA 07,,,103.2,0.27
NLA06608-1364,1,NLA 12,,,49.76,0.10293
NLA06608-1364,1,NLA 12,,,24.8,0.17441
NLA06608-1364,2,NLA 12,,,40.64,0.76497
NLA06608-1364,2,NLA 12,,,60.8,0.5648
NLA06608-1365,1,NLA 07,,,5.36,NA
NLA06608-1367,1,NLA 07,,,184,1.9
NLA06608-1368,1,NLA 07,,,32.2,NA
NLA06608-1369,1,NLA 07,,,30.08,NA
NLA06608-1370,1,NLA 07,,,16.16,5.1
NLA06608-1372,1,NLA 07,,,62.64,NA
NLA06608-1372,1,NLA 12,,,40.5,0.35011
NLA06608-1372,1,NLA 12,,,277,0.48076
NLA06608-1375,1,NLA 07,,,63.936,NA
NLA06608-1375,1,NLA 12,,,61.6,0.13729
NLA06608-1375,1,NLA 12,,,74.56,NA
NLA06608-1375,2,NLA 12,,,62.6,NA
NLA06608-1375,2,NLA 12,,,61.33,0.15864
NLA06608-1376,1,NLA 07,,,9.12,NA
NLA06608-1377,1,NLA 07,,,0.867,NA
NLA06608-1377,1,NLA 12,,,1.95,NA
NLA06608-1377,1,NLA 12,,,1.252,NA
NLA06608-1380,1,NLA 07,,,2.768,NA
NLA06608-1383,1,NLA 07,,,21.28,3.4
NLA06608-1383,1,NLA 12,,,19.37,0.18
NLA06608-1383,1,NLA 12,,,18.5,0.18
NLA06608-1387,1,NLA 07,,,9.968,0.19
NLA06608-1387,1,NLA 12,,,3.5,NA
NLA06608-1387,1,NLA 12,,,3.55,NA
NLA06608-1389,1,NLA 07,,,52.848,0.11
NLA06608-1389,1,NLA 12,,,106,0.39369
NLA06608-1389,1,NLA 12,,,118.8,0.5022
NLA06608-1389,2,NLA 07,,,67.68,NA
NLA06608-1390,1,NLA 07,,,5.589,NA
NLA06608-1390,1,NLA 12,,,2.99,NA
NLA06608-1390,1,NLA 12,,,2.92,NA
NLA06608-1391,1,NLA 07,,,67.968,1.5
NLA06608-1396,1,NLA 07,,,5.12,NA
NLA06608-1397,1,NLA 07,,,210.6,0.13
NLA06608-1397,1,NLA 12,,,99,0.12244
NLA06608-1397,1,NLA 12,,,116,0.10953
NLA06608-1398,1,NLA 07,,,7.874,NA
NLA06608-1401,1,NLA 07,,,37.296,2.1
NLA06608-1403,1,NLA 07,,,1.925,NA
NLA06608-1403,1,NLA 12,,,4.768,NA
NLA06608-1403,1,NLA 12,,,6.84,NA
NLA06608-1413,1,NLA 07,,,49.2,0.47
NLA06608-1414,1,NLA 07,,,10.48,NA
NLA06608-1414,1,NLA 12,,,3.664,0.117
NLA06608-1414,1,NLA 12,,,7.54,NA
NLA06608-1414,2,NLA 12,,,4.31,0.18052
NLA06608-1414,2,NLA 12,,,9.84,0.10956
NLA06608-1417,1,NLA 07,,,1.989,NA
NLA06608-1420,1,NLA 07,,,13.382,NA
NLA06608-1421,1,NLA 07,,,75.6,0.13
NLA06608-1425,1,NLA 07,,,9.712,NA
NLA06608-1426,1,NLA 07,,,12.368,NA
NLA06608-1432,1,NLA 07,,,5.16,NA
NLA06608-1434,1,NLA 07,,,2.312,NA
NLA06608-1434,1,NLA 12,,,3.466666667,0.2104
NLA06608-1434,1,NLA 12,,,3.16,0.30456
NLA06608-1435,1,NLA 07,,,9.4,1.6
NLA06608-1435,1,NLA 12,,,6.16,0.12222
NLA06608-1435,1,NLA 12,,,15.81,0.2337
NLA06608-1436,1,NLA 07,,,4.72,NA
NLA06608-1439,1,NLA 07,,,3.332,NA
NLA06608-1445,1,NLA 07,,,16.667,0.75
NLA06608-1445,1,NLA 12,,,14.9,0.88096
NLA06608-1445,1,NLA 12,,,465.6,43.8622
NLA06608-1446,1,NLA 07,,,0.779,NA
NLA06608-1447,1,NLA 07,,,5.086,NA
NLA06608-1447,1,NLA 12,,,2.53,NA
NLA06608-1447,1,NLA 12,,,2.688,NA
NLA06608-1450,1,NLA 07,,,2.944,0.16
NLA06608-1450,1,NLA 12,,,2.36,0.23331
NLA06608-1450,1,NLA 12,,,2.917333333,0.20826
NLA06608-1454,1,NLA 07,,,2.82,0.46
NLA06608-1455,1,NLA 07,,,8.8,NA
NLA06608-1460,1,NLA 07,,,4.459,NA
NLA06608-1461,1,NLA 07,,,18.216,NA
NLA06608-1462,1,NLA 07,,,26.8,NA
NLA06608-1465,1,NLA 07,,,5.973,NA
NLA06608-1465,1,NLA 12,,,4,NA
NLA06608-1465,1,NLA 12,,,13.62,NA
NLA06608-1469,1,NLA 07,,,65.52,NA
NLA06608-1469,1,NLA 12,,,58.4,0.50324
NLA06608-1469,1,NLA 12,,,85.6,0.54894
NLA06608-1473,1,NLA 07,,,2.007,NA
NLA06608-1476,1,NLA 07,,,62,NA
NLA06608-1481,1,NLA 07,,,0.489,NA
NLA06608-1482,1,NLA 07,,,23.52,0.19
NLA06608-1483,1,NLA 07,,,4.805,NA
NLA06608-1483,1,NLA 12,,,5.993,NA
NLA06608-1483,1,NLA 12,,,5.42,NA
NLA06608-1484,1,NLA 07,,,3.795,NA
NLA06608-1484,1,NLA 12,,,6.69,0.16042
NLA06608-1484,1,NLA 12,,,6.624,NA
NLA06608-1487,1,NLA 07,,,14.592,0.12
NLA06608-1487,1,NLA 12,,,35.52,NA
NLA06608-1487,1,NLA 12,,,21.04,NA
NLA06608-1488,1,NLA 07,,,114.624,9.5
NLA06608-1489,1,NLA 07,,,17.94,NA
NLA06608-1492,1,NLA 07,,,40.608,2.7
NLA06608-1496,1,NLA 07,,,12.98,NA
NLA06608-1499,1,NLA 07,,,2.907,0.16
NLA06608-1504,1,NLA 07,,,155.077,NA
NLA06608-1504,1,NLA 12,,,66.6,0.13273
NLA06608-1504,1,NLA 12,,,61.7,NA
NLA06608-1508,1,NLA 07,,,11.744,NA
NLA06608-1510,1,NLA 07,,,28.48,0.12
NLA06608-1511,1,NLA 07,,,5.24,0.38
NLA06608-1511,1,NLA 12,,,42.8,1.88462
NLA06608-1511,1,NLA 12,,,10.8,0.41188
NLA06608-1515,1,NLA 07,,,11.6,5.4
NLA06608-1517,1,NLA 07,,,6.384,1.7
NLA06608-1521,1,NLA 07,,,82.512,0.75
NLA06608-1521,1,NLA 12,,,29.84,0.14371
NLA06608-1521,1,NLA 12,,,81.12,0.14578
NLA06608-1524,1,NLA 07,,,7.72,NA
NLA06608-1524,1,NLA 12,,,15.6,0.14528
NLA06608-1524,1,NLA 12,,,6.21,0.10608
NLA06608-1527,1,NLA 07,,,381.6,0.37
NLA06608-1529,1,NLA 07,,,6.04,NA
NLA06608-1529,1,NLA 12,,,4.37,0.14536
NLA06608-1529,1,NLA 12,,,3.101538462,NA
NLA06608-1532,1,NLA 07,,,42.66,1.5
NLA06608-1532,1,NLA 12,,,30.08,4.57725
NLA06608-1532,1,NLA 12,,,20.16,3.95095
NLA06608-1532,2,NLA 12,,,43.84,6.25855
NLA06608-1532,2,NLA 12,,,86.4,71.9664
NLA06608-1537,1,NLA 07,,,2.184,NA
NLA06608-1538,1,NLA 07,,,2.616,NA
NLA06608-1538,1,NLA 12,,,1.776,NA
NLA06608-1538,1,NLA 12,,,1.72,NA
NLA06608-1538,2,NLA 12,,,1.668,NA
NLA06608-1538,2,NLA 12,,,1.65,NA
NLA06608-1544,1,NLA 07,,,26.64,1.7
NLA06608-1556,1,NLA 07,,,5.387,NA
NLA06608-1558,1,NLA 07,,,2.976,NA
NLA06608-1558,1,NLA 12,,,1.909,NA
NLA06608-1558,1,NLA 12,,,1.72,NA
NLA06608-1558,2,NLA 12,,,2.14,NA
NLA06608-1558,2,NLA 12,,,2.412,NA
NLA06608-1560,1,NLA 07,,,27.467,0.24
NLA06608-1560,1,NLA 12,,,40.48,0.11727
NLA06608-1560,1,NLA 12,,,40.64,0.15668
NLA06608-1561,1,NLA 07,,,3.235,NA
NLA06608-1562,1,NLA 07,,,2.944,NA
NLA06608-1564,1,NLA 07,,,12.8,NA
NLA06608-1564,1,NLA 12,,,0.65,NA
NLA06608-1564,1,NLA 12,,,2.39,NA
NLA06608-1568,1,NLA 07,,,11.491,NA
NLA06608-1569,1,NLA 07,,,19.467,NA
NLA06608-1572,1,NLA 07,,,4.453,NA
NLA06608-1575,1,NLA 07,,,88.2,NA
NLA06608-1576,1,NLA 07,,,68.4,0.25
NLA06608-1577,1,NLA 07,,,4.32,NA
NLA06608-1578,1,NLA 07,,,23.36,NA
NLA06608-1579,1,NLA 07,,,2.26,0.39
NLA06608-1579,1,NLA 12,,,2.45,NA
NLA06608-1579,1,NLA 12,,,2.813793103,NA
NLA06608-1586,1,NLA 07,,,2.96,NA
NLA06608-1593,1,NLA 07,,,6.336,NA
NLA06608-1595,1,NLA 07,,,5.003,NA
NLA06608-1596,1,NLA 07,,,684,0.39
NLA06608-1600,1,NLA 07,,,13.008,NA
NLA06608-1602,1,NLA 07,,,4.245,NA
NLA06608-1608,1,NLA 07,,,31.52,0.1
NLA06608-1608,1,NLA 12,,,16.96,0.16579
NLA06608-1608,1,NLA 12,,,16.16,0.14519
NLA06608-1610,1,NLA 07,,,0.502,NA
NLA06608-1617,1,NLA 07,,,7.248,NA
NLA06608-1623,1,NLA 07,,,24.16,0.14
NLA06608-1626,1,NLA 07,,,14.784,NA
NLA06608-1626,1,NLA 12,,,33.44,NA
NLA06608-1626,1,NLA 12,,,4.26,NA
NLA06608-1630,1,NLA 07,,,21.44,NA
NLA06608-1631,1,NLA 07,,,27.576,4.8
NLA06608-1633,1,NLA 07,,,1.52,NA
NLA06608-1637,1,NLA 07,,,19.872,1.2
NLA06608-1637,1,NLA 12,,,28.93,0.36
NLA06608-1637,1,NLA 12,,,25.63,0.49
NLA06608-1638,1,NLA 07,,,0.23,NA
NLA06608-1640,1,NLA 07,,,23.2,NA
NLA06608-1641,1,NLA 07,,,5.66,NA
NLA06608-1641,1,NLA 12,,,6.96,0.10562
NLA06608-1641,1,NLA 12,,,15.34,0.11561
NLA06608-1643,1,NLA 07,,,3.168,NA
NLA06608-1649,1,NLA 12,,,2.5,NA
NLA06608-1649,1,NLA 12,,,2.664,NA
NLA06608-1652,1,NLA 07,,,57.2,0.1
NLA06608-1653,1,NLA 12,,,223,NA
NLA06608-1653,1,NLA 12,,,111,0.11272
NLA06608-1654,1,NLA 07,,,4.48,NA
NLA06608-1655,1,NLA 07,,,542.4,NA
NLA06608-1668,1,NLA 07,,,18.72,NA
NLA06608-1672,1,NLA 07,,,100.512,NA
NLA06608-1672,1,NLA 12,,,48.4,0.11597
NLA06608-1672,1,NLA 12,,,40.96,0.15711
NLA06608-1672,2,NLA 12,,,74.56,0.11183
NLA06608-1672,2,NLA 12,,,76.96,0.1308
NLA06608-1674,1,NLA 07,,,2.32,NA
NLA06608-1675,1,NLA 07,,,3.008,NA
NLA06608-1679,1,NLA 07,,,3.12,NA
NLA06608-1684,1,NLA 07,,,22.629,0.11
NLA06608-1684,1,NLA 12,,,33.12,0.90756
NLA06608-1684,1,NLA 12,,,139.82,0.74466
NLA06608-1684,2,NLA 07,,,25.16,0.12
NLA06608-1687,1,NLA 07,,,7.52,0.12
NLA06608-1690,1,NLA 07,,,4.632,NA
NLA06608-1695,1,NLA 07,,,2.288,NA
NLA06608-1703,1,NLA 07,,,32.04,0.54
NLA06608-1704,1,NLA 07,,,32.544,0.21
NLA06608-1706,1,NLA 07,,,2.315,NA
NLA06608-1707,1,NLA 07,,,3.288,NA
NLA06608-1711,1,NLA 07,,,4.32,NA
NLA06608-1715,1,NLA 07,,,8.8,NA
NLA06608-1717,1,NLA 07,,,0.878,NA
NLA06608-1717,1,NLA 12,,,5.04,NA
NLA06608-1717,1,NLA 12,,,1.43,NA
NLA06608-1719,1,NLA 07,,,314.609,NA
NLA06608-1723,1,NLA 07,,,2.824,NA
NLA06608-1723,1,NLA 12,,,3.44,NA
NLA06608-1723,1,NLA 12,,,2.24,NA
NLA06608-1724,1,NLA 07,,,55.28,0.27
NLA06608-1733,1,NLA 07,,,167.04,1.3
NLA06608-1733,1,NLA 12,,,88.8,0.19734
NLA06608-1733,1,NLA 12,,,110.8,0.18436
NLA06608-1735,1,NLA 07,,,62,NA
NLA06608-1736,1,NLA 07,,,38.2,2.4
NLA06608-1736,1,NLA 12,,,91.9,0.75046
NLA06608-1736,1,NLA 12,,,84.67,0.94635
NLA06608-1739,1,NLA 07,,,2.23,NA
NLA06608-1740,1,NLA 07,,,27.132,NA
NLA06608-1741,1,NLA 07,,,116.4,2
NLA06608-1741,1,NLA 12,,,78,1.2149
NLA06608-1741,1,NLA 12,,,60.8,3.71317
NLA06608-1742,1,NLA 07,,,3.372,NA
NLA06608-1748,1,NLA 07,,,1.035,NA
NLA06608-1753,1,NLA 07,,,1.064,NA
NLA06608-1753,1,NLA 12,,,3.586666667,NA
NLA06608-1753,1,NLA 12,,,1.73,NA
NLA06608-1753,2,NLA 12,,,3.022,NA
NLA06608-1753,2,NLA 12,,,1.401,NA
NLA06608-1755,1,NLA 07,,,12.6,0.21
NLA06608-1755,1,NLA 12,,,8.69,0.10107
NLA06608-1755,1,NLA 12,,,8.48,NA
NLA06608-1758,1,NLA 07,,,3.064,NA
NLA06608-1771,1,NLA 07,,,4.032,NA
NLA06608-1771,1,NLA 12,,,5.28,NA
NLA06608-1771,1,NLA 12,,,5.176,NA
NLA06608-1775,1,NLA 07,,,23,0.22
NLA06608-1781,1,NLA 07,,,14.56,NA
NLA06608-1781,1,NLA 12,,,14,0.74297
NLA06608-1781,1,NLA 12,,,8,0.45198
NLA06608-1781,2,NLA 12,,,39,0.41542
NLA06608-1781,2,NLA 12,,,14,0.2298
NLA06608-1782,1,NLA 07,,,17.44,2.1
NLA06608-1782,1,NLA 12,,,3.61,0.1519
NLA06608-1782,1,NLA 12,,,11.2,0.10688
NLA06608-1789,1,NLA 07,,,1.349,NA
NLA06608-1791,1,NLA 07,,,1.627,NA
NLA06608-1793,1,NLA 07,,,5.448,NA
NLA06608-1793,1,NLA 12,,,1.152,NA
NLA06608-1793,1,NLA 12,,,3.42,NA
NLA06608-1796,1,NLA 12,,,44.26666667,NA
NLA06608-1796,1,NLA 12,,,53.6,0.10371
NLA06608-1796,2,NLA 12,,,10.96,NA
NLA06608-1796,2,NLA 12,,,11.42857143,NA
NLA06608-1800,1,NLA 07,,,43.632,NA
NLA06608-1802,1,NLA 07,,,5.296,NA
NLA06608-1804,1,NLA 07,,,25.47,0.37
NLA06608-1808,1,NLA 07,,,24.8,NA
NLA06608-1808,1,NLA 12,,,26.4,NA
NLA06608-1808,1,NLA 12,,,52.4,NA
NLA06608-1808,2,NLA 12,,,30.8,NA
NLA06608-1808,2,NLA 12,,,26.76,NA
NLA06608-1810,1,NLA 07,,,14.8,NA
NLA06608-1810,1,NLA 12,,,2.11,NA
NLA06608-1810,1,NLA 12,,,2,NA
NLA06608-1811,1,NLA 07,,,7.573,NA
NLA06608-1811,1,NLA 12,,,63.36,2.18422
NLA06608-1811,1,NLA 12,,,42.84,0.85378
NLA06608-1812,1,NLA 07,,,13.68,NA
NLA06608-1818,1,NLA 07,,,0.68,NA
NLA06608-1821,1,NLA 07,,,197,0.55
NLA06608-1821,1,NLA 12,,,42.56,NA
NLA06608-1821,1,NLA 12,,,37.6,0.11158
NLA06608-1822,1,NLA 12,,,1.67,NA
NLA06608-1822,1,NLA 12,,,7.15,0.293
NLA06608-1824,1,NLA 07,,,25.143,NA
NLA06608-1824,1,NLA 12,,,22.4,0.13406
NLA06608-1824,1,NLA 12,,,8.564705882,0.12417
NLA06608-1825,1,NLA 07,,,16.2,NA
NLA06608-1835,1,NLA 07,,,2.02,NA
NLA06608-1835,1,NLA 12,,,3.466666667,NA
NLA06608-1835,1,NLA 12,,,3.52,NA
NLA06608-1835,2,NLA 12,,,4.76,NA
NLA06608-1835,2,NLA 12,,,4.48,NA
NLA06608-1836,1,NLA 07,,,115.56,3.3
NLA06608-1839,1,NLA 07,,,12.533,NA
NLA06608-1840,1,NLA 07,,,72,0.2
NLA06608-1851,1,NLA 07,,,6.05,NA
NLA06608-1851,1,NLA 12,,,3.513333333,NA
NLA06608-1851,1,NLA 12,,,1.66,0.11054
NLA06608-1856,1,NLA 07,,,5.184,0.89
NLA06608-1856,1,NLA 12,,,14.4,3.46075
NLA06608-1856,1,NLA 12,,,3.296,4.40837
NLA06608-1857,1,NLA 07,,,1.248,NA
NLA06608-1857,1,NLA 12,,,0.884571429,NA
NLA06608-1857,1,NLA 12,,,0.97,NA
NLA06608-1857,2,NLA 12,,,1.6416,NA
NLA06608-1857,2,NLA 12,,,1.81,NA
NLA06608-1861,1,NLA 07,,,55.32,NA
NLA06608-1862,1,NLA 07,,,7.6,NA
NLA06608-1862,1,NLA 12,,,6.528,0.10979
NLA06608-1862,1,NLA 12,,,3.55,0.11378
NLA06608-1862,2,NLA 12,,,7.14,NA
NLA06608-1862,2,NLA 12,,,13.66153846,NA
NLA06608-1863,1,NLA 07,,,61.44,NA
NLA06608-1866,1,NLA 07,,,4.357,NA
NLA06608-1866,1,NLA 12,,,0.519,NA
NLA06608-1866,1,NLA 12,,,0.48,NA
NLA06608-1866,2,NLA 12,,,1.11,NA
NLA06608-1866,2,NLA 12,,,1.0944,NA
NLA06608-1867,1,NLA 07,,,52.704,0.6
NLA06608-1868,1,NLA 07,,,9,NA
NLA06608-1868,1,NLA 12,,,8.85,NA
NLA06608-1868,1,NLA 12,,,15.5,0.11315
NLA06608-1868,2,NLA 12,,,15.1,NA
NLA06608-1868,2,NLA 12,,,14.5,NA
NLA06608-1871,1,NLA 07,,,3.096,NA
NLA06608-1871,1,NLA 12,,,5.968,NA
NLA06608-1871,1,NLA 12,,,4.3,NA
NLA06608-1873,1,NLA 07,,,0.464,NA
NLA06608-1874,1,NLA 07,,,3.56,NA
NLA06608-1874,1,NLA 12,,,6.32,NA
NLA06608-1874,1,NLA 12,,,2.568,NA
NLA06608-1879,1,NLA 07,,,109.662,1.6
NLA06608-1884,1,NLA 07,,,25.44,0.38
NLA06608-1893,1,NLA 07,,,6.94,0.53
NLA06608-1894,1,NLA 07,,,0.446,NA
NLA06608-1894,1,NLA 12,,,0.86,NA
NLA06608-1894,1,NLA 12,,,0.701333333,NA
NLA06608-1894,2,NLA 12,,,0.349,NA
NLA06608-1894,2,NLA 12,,,1.7,NA
NLA06608-1906,1,NLA 07,,,2.104,0.3
NLA06608-1908,1,NLA 07,,,0.944,0.1
NLA06608-1910,1,NLA 07,,,22.24,1.2
NLA06608-1920,1,NLA 12,,,7.34,NA
NLA06608-1920,1,NLA 12,,,8.16,NA
NLA06608-1930,1,NLA 07,,,1.482,NA
NLA06608-1936,1,NLA 07,,,31.4,0.27
NLA06608-1948,1,NLA 07,,,20.88,NA
NLA06608-1953,1,NLA 07,,,9.173,0.93
NLA06608-1958,1,NLA 07,,,0.668,NA
NLA06608-1959,1,NLA 07,,,17.486,NA
NLA06608-1960,1,NLA 07,,,14.848,0.14
NLA06608-1968,1,NLA 07,,,94.933,0.16
NLA06608-1975,1,NLA 07,,,4.981,0.14
NLA06608-1985,1,NLA 07,,,0.664,NA
NLA06608-1989,1,NLA 07,,,17.12,NA
NLA06608-1989,1,NLA 12,,,12.24,0.12244
NLA06608-1989,1,NLA 12,,,12.4,0.24879
NLA06608-1992,1,NLA 07,,,104.4,2.2
NLA06608-1998,1,NLA 07,,,3.323,NA
NLA06608-1998,2,NLA 07,,,5.32,NA
NLA06608-2005,1,NLA 07,,,194.4,NA
NLA06608-2007,1,NLA 07,,,6.72,NA
NLA06608-2009,1,NLA 12,,,4.697142857,0.17595
NLA06608-2009,1,NLA 12,,,6.08,0.13238
NLA06608-2010,1,NLA 07,,,14.304,0.65
NLA06608-2027,1,NLA 07,,,3.952,NA
NLA06608-2036,1,NLA 07,,,4.408,0.11
NLA06608-2036,1,NLA 12,,,4.39,NA
NLA06608-2036,1,NLA 12,,,4.12,0.12458
NLA06608-2037,1,NLA 07,,,19.2,NA
NLA06608-2039,1,NLA 07,,,338.4,38
NLA06608-2049,1,NLA 07,,,1.415,NA
NLA06608-2056,1,NLA 07,,,92.16,4.3
NLA06608-2056,1,NLA 12,,,87.7,0.268
NLA06608-2056,1,NLA 12,,,236,0.23923
NLA06608-2072,1,NLA 07,,,105.84,0.1
NLA06608-2074,1,NLA 07,,,61.091,2.6
NLA06608-2074,1,NLA 12,,,34.48888889,0.17308
NLA06608-2074,1,NLA 12,,,26.97,0.16602
NLA06608-2076,1,NLA 07,,,3.59,NA
NLA06608-2078,1,NLA 07,,,8.64,NA
NLA06608-2082,1,NLA 07,,,3.568,NA
NLA06608-2082,1,NLA 12,,,1.624,NA
NLA06608-2082,1,NLA 12,,,2.14,NA
NLA06608-2086,1,NLA 07,,,1.592,NA
NLA06608-2086,1,NLA 12,,,0.858666667,NA
NLA06608-2086,1,NLA 12,,,0.92,NA
NLA06608-2087,1,NLA 07,,,64.512,1.1
NLA06608-2091,1,NLA 07,,,20.43,NA
NLA06608-2092,1,NLA 07,,,84.96,1.7
NLA06608-2092,1,NLA 12,,,44,2.49615
NLA06608-2092,1,NLA 12,,,41.6,2.32405
NLA06608-2094,1,NLA 07,,,20.64,NA
NLA06608-2095,1,NLA 07,,,2.888,NA
NLA06608-2095,1,NLA 12,,,22.08,NA
NLA06608-2095,1,NLA 12,,,1.756,NA
NLA06608-2103,1,NLA 07,,,8.133,0.27
NLA06608-2114,1,NLA 07,,,3.408,NA
NLA06608-2114,1,NLA 12,,,28.4,NA
NLA06608-2114,1,NLA 12,,,0.842666667,NA
NLA06608-2117,1,NLA 07,,,149.6,0.43
NLA06608-2117,1,NLA 12,,,72.93,0.25187
NLA06608-2117,1,NLA 12,,,80.9,0.2797
NLA06608-2120,1,NLA 07,,,13.472,NA
NLA06608-2120,1,NLA 12,,,4.72,0.11589
NLA06608-2120,1,NLA 12,,,12.8,0.46377
NLA06608-2123,1,NLA 07,,,166.629,6.6
NLA06608-2123,1,NLA 12,,,43.1,0.10244
NLA06608-2123,1,NLA 12,,,37.2,0.17147
NLA06608-2131,1,NLA 07,,,13.44,0.31
NLA06608-2134,1,NLA 07,,,6.149,NA
NLA06608-2135,1,NLA 07,,,15.216,8.6
NLA06608-2137,1,NLA 12,,,3.664,0.15184
NLA06608-2137,1,NLA 12,,,3.15,NA
NLA06608-2152,1,NLA 07,,,23.832,NA
NLA06608-2152,1,NLA 12,,,37.92,0.17023
NLA06608-2152,1,NLA 12,,,34.88,0.16973
NLA06608-2154,1,NLA 07,,,46.4,NA
NLA06608-2155,1,NLA 07,,,1.464,NA
NLA06608-2162,1,NLA 07,,,3.744,0.38
NLA06608-2170,1,NLA 07,,,3.96,4.4
NLA06608-2177,1,NLA 07,,,1.389,NA
